Protein Name,Replicate Name,Precursor Ion Name,Retention Time,Area,Background,Height,N.lab,C.lab,runDate,type,SampID,ionization,rep,Timepoint,Experiment,Blk.flag,ppm.flag,size.flag,RT.check,all.flags,rawArea
Arginine,200908_Blk_GBTFateBlk_B,Arginine_13C-1 15N-1,5.89,NA,0,585844,1,1,200908,Blk,GBTFateBlk,B,NA,NA,FateB,ok,ok,ok,bad RT,something is wrong,436652
Arginine,200908_Smp_GBTFate1T0_A,Arginine_13C-1 15N-1,1.94,18781,0,55758,1,1,200908,Smp,GBTFate1T0,A,NA,0,Fate1,ok,ok,ok,ok,all ok,18781
Arginine,200908_Smp_GBTFate1T0_B,Arginine_13C-1 15N-1,5.88,NA,0,764879,1,1,200908,Smp,GBTFate1T0,B,NA,0,Fate1,ok,ok,ok,bad RT,something is wrong,508762
Arginine,200908_Smp_GBTFate1T0_C,Arginine_13C-1 15N-1,5.89,NA,0,538225,1,1,200908,Smp,GBTFate1T0,C,NA,0,Fate1,ok,ok,ok,bad RT,something is wrong,400959
Arginine,200908_Smp_GBTFate2T0_A,Arginine_13C-1 15N-1,5.89,NA,0,809291,1,1,200908,Smp,GBTFate2T0,A,NA,0,Fate2,ok,ok,ok,bad RT,something is wrong,581475
Arginine,200908_Smp_GBTFate2T0_B,Arginine_13C-1 15N-1,5.89,NA,0,645358,1,1,200908,Smp,GBTFate2T0,B,NA,0,Fate2,ok,ok,ok,bad RT,something is wrong,508612
Arginine,200908_Smp_GBTFate2T0_C,Arginine_13C-1 15N-1,5.89,NA,0,859428,1,1,200908,Smp,GBTFate2T0,C,NA,0,Fate2,ok,ok,ok,bad RT,something is wrong,657895
Arginine,200908_Smp_GBTFate1Tlong_A,Arginine_13C-1 15N-1,5.88,NA,0,629589,1,1,200908,Smp,GBTFate1Tlong,A,NA,96,Fate1,ok,ok,ok,bad RT,something is wrong,452649
Arginine,200908_Smp_GBTFate1Tlong_B,Arginine_13C-1 15N-1,5.88,NA,0,641475,1,1,200908,Smp,GBTFate1Tlong,B,NA,96,Fate1,ok,ok,ok,bad RT,something is wrong,478138
Arginine,200908_Smp_GBTFate1Tlong_C,Arginine_13C-1 15N-1,5.89,NA,0,726226,1,1,200908,Smp,GBTFate1Tlong,C,NA,96,Fate1,ok,ok,ok,bad RT,something is wrong,543380
Arginine,200908_Smp_GBTFate2Tlong_A,Arginine_13C-1 15N-1,5.89,NA,0,735139,1,1,200908,Smp,GBTFate2Tlong,A,NA,96,Fate2,ok,ok,ok,bad RT,something is wrong,584569
