Protein Name,Replicate Name,Precursor Ion Name,Retention Time,Area,Background,Height,Mass Error PPM,Protein
L-Arginine,200605_Poo_QC2_5,L-Arginine_13C-0 15N-1,19.1,909180,0,32037,-3,L-Arginine
L-Arginine,200605_Blk_GBTFate1MBlk-IS_A,L-Arginine_13C-0 15N-1,21.53,94496,0,31176,8.4,L-Arginine
L-Arginine,200605_Blk_GBTFate1MBlk-IS_B,L-Arginine_13C-0 15N-1,11.15,5918,0,5561,1.1,L-Arginine
L-Arginine,200605_Smp_GBTFate1MT0-IS_A,L-Arginine_13C-0 15N-1,19.01,30295,0,4913,-3,L-Arginine
L-Arginine,200605_Smp_GBTFate1MT0-IS_B,L-Arginine_13C-0 15N-1,16.25,5323,0,4348,2.2,L-Arginine
L-Arginine,200605_Smp_GBTFate1MT0-IS_C,L-Arginine_13C-0 15N-1,19.01,48648,0,6943,-2.4,L-Arginine
L-Arginine,200605_Smp_GBTFate1MT12-IS_A,L-Arginine_13C-0 15N-1,19.1,75216,0,7816,-4,L-Arginine
L-Arginine,200605_Smp_GBTFate1MT12-IS_B,L-Arginine_13C-0 15N-1,18.88,18663,0,6119,-0.4,L-Arginine
L-Arginine,200605_Smp_GBTFate1MT12-IS_C,L-Arginine_13C-0 15N-1,19.05,25892,0,8385,-4.7,L-Arginine
L-Arginine,200605_Smp_GBTFate1MT36-IS_A,L-Arginine_13C-0 15N-1,18.64,111294,0,13707,-2.6,L-Arginine
L-Arginine,200605_Smp_GBTFate1MT36-IS_B,L-Arginine_13C-0 15N-1,18.75,86178,0,12780,-1.9,L-Arginine
L-Arginine,200605_Smp_GBTFate1MT36-IS_C,L-Arginine_13C-0 15N-1,18.83,107243,0,14957,-2.7,L-Arginine
L-Arginine,200605_Smp_GBTFate1MT4-IS_A,L-Arginine_13C-0 15N-1,18.64,13038,0,4716,-1.6,L-Arginine
L-Arginine,200605_Smp_GBTFate1MT4-IS_B,L-Arginine_13C-0 15N-1,18.74,21992,0,7866,-2.5,L-Arginine
L-Arginine,200605_Smp_GBTFate1MT4-IS_C,L-Arginine_13C-0 15N-1,21.58,231009,0,70921,9.3,L-Arginine
L-Arginine,200605_Smp_GBTFate1MT50-IS_A,L-Arginine_13C-0 15N-1,18.88,126642,0,12196,-3.1,L-Arginine
L-Arginine,200605_Smp_GBTFate1MT50-IS_B,L-Arginine_13C-0 15N-1,18.92,79365,0,7156,-2.9,L-Arginine
