Protein Name,Replicate Name,Precursor Ion Name,Retention Time,Area,Background,Height,Mass Error PPM,Protein
Amino Acids,200908_Blk_GBTFateBlk_A,Glutamic Acid,2.96,1433575,0,824622,-0.7,Amino Acids
Amino Acids,200908_Blk_GBTFateBlk_B,Glutamic Acid,2.96,2831777,0,1829303,-0.4,Amino Acids
Amino Acids,200908_Smp_GBTFate1T0_A,Glutamic Acid,2.96,13116318,0,6294459,-0.3,Amino Acids
Amino Acids,200908_Smp_GBTFate1T0_B,Glutamic Acid,2.96,35069120,436735,20678586,-0.4,Amino Acids
Amino Acids,200908_Smp_GBTFate1T0_C,Glutamic Acid,2.96,7347340,0,4252566,-0.2,Amino Acids
Amino Acids,200908_Smp_GBTFate2T0_A,Glutamic Acid,2.96,8175466,0,5168745,-0.4,Amino Acids
Amino Acids,200908_Smp_GBTFate2T0_B,Glutamic Acid,2.96,15127091,0,8605430,-0.7,Amino Acids
Amino Acids,200908_Smp_GBTFate2T0_C,Glutamic Acid,2.96,14666320,0,9152850,-0.1,Amino Acids
Amino Acids,200908_Smp_GBTFate1Tlong_A,Glutamic Acid,2.96,32413316,455218,15863997,-0.5,Amino Acids
Amino Acids,200908_Smp_GBTFate1Tlong_B,Glutamic Acid,2.96,22735002,881341,13927962,-0.2,Amino Acids
Amino Acids,200908_Smp_GBTFate1Tlong_C,Glutamic Acid,2.97,13681504,0,7204358,-0.4,Amino Acids
Amino Acids,200908_Smp_GBTFate2Tlong_A,Glutamic Acid,2.95,15802315,0,9586793,0.2,Amino Acids
Amino Acids,200908_Smp_GBTFate2Tlong_B,Glutamic Acid,2.95,13831544,357378,7387592,-1.1,Amino Acids
Amino Acids,200908_Std_0.5uM_GBTFate1T0_A-1,Glutamic Acid,2.99,40442792,985522,15633108,-0.1,Amino Acids
Amino Acids,200908_Std_1.0uM_GBTFate1T0_A-1,Glutamic Acid,2.96,45965352,1602724,24408974,-0.4,Amino Acids
Amino Acids,200908_Std_0uM_GBTFate1T0_A-1,Glutamic Acid,2.99,3187557,0,1714421,-0.3,Amino Acids
Amino Acids,200908_Smp_GBTFate2Tlong_C,Glutamic Acid,2.96,22505432,1044291,11987984,0.4,Amino Acids
Amino Acids,200908_Std_2.5uM_GBTFate1T0_A-1,Glutamic Acid,2.96,98630384,4302150,51782144,-0.2,Amino Acids
Amino Acids,200908_Std_0uM_GBTFate1T0_A-2,Glutamic Acid,2.96,4786696,0,3167311,-0.5,Amino Acids
Amino Acids,200908_Std_0.5uM_GBTFate1T0_A-2,Glutamic Acid,2.95,47149984,2161949,28744156,0,Amino Acids
Amino Acids,200908_Std_1.0uM_GBTFate1T0_A-2,Glutamic Acid,2.95,75902912,2353046,48801992,-0.1,Amino Acids
Amino Acids,200908_Std_2.5uM_GBTFate1T0_A-2,Glutamic Acid,2.96,140023600,5172137,84638744,-1.2,Amino Acids
Amino Acids,191001_Std_AA_AA-IS,Threonine,3.06,275476800,3240981,190293456,-0.7,Amino Acids
Amino Acids,200908_Blk_GBTFateBlk_A,Threonine,3.15,2715382,0,1493725,-1.4,Amino Acids
Amino Acids,200908_Blk_GBTFateBlk_B,Threonine,3.15,9479802,0,3332705,-1.4,Amino Acids
Amino Acids,200908_Smp_GBTFate1T0_A,Threonine,3.11,4245363,1931670,1230795,-1.2,Amino Acids
Amino Acids,200908_Smp_GBTFate1T0_B,Threonine,3.15,91483128,417880,28976592,-1.4,Amino Acids
Amino Acids,200908_Smp_GBTFate1T0_C,Threonine,3.14,24663934,0,10126922,-1.1,Amino Acids
Amino Acids,200908_Smp_GBTFate2T0_A,Threonine,3.12,17818224,0,3456797,-1.2,Amino Acids
Amino Acids,200908_Smp_GBTFate2T0_B,Threonine,3.15,37077896,191829,15630230,-1.4,Amino Acids
Amino Acids,200908_Smp_GBTFate2T0_C,Threonine,3.15,64874756,0,21004600,-1.3,Amino Acids
Amino Acids,200908_Smp_GBTFate1Tlong_A,Threonine,3.14,77012184,214912,25946768,-1.3,Amino Acids
Amino Acids,200908_Smp_GBTFate1Tlong_B,Threonine,3.15,83421008,0,29666144,-1.1,Amino Acids
Amino Acids,200908_Smp_GBTFate1Tlong_C,Threonine,3.15,40741840,0,14415675,-1.1,Amino Acids
Amino Acids,200908_Smp_GBTFate2Tlong_A,Threonine,3.15,47830924,0,15628450,-0.9,Amino Acids
Amino Acids,200908_Smp_GBTFate2Tlong_B,Threonine,3.11,3492196,1721423,993089,-1.7,Amino Acids
Amino Acids,200908_Std_0.5uM_GBTFate1T0_A-1,Threonine,3.18,79268192,743784,48452764,-1.3,Amino Acids
Amino Acids,200908_Std_1.0uM_GBTFate1T0_A-1,Threonine,3.15,148347824,1428655,77412880,-1.4,Amino Acids
Amino Acids,200908_Std_0uM_GBTFate1T0_A-1,Threonine,3.17,6492392,0,3910351,-1.2,Amino Acids
Amino Acids,200908_Smp_GBTFate2Tlong_C,Threonine,3.14,41470604,0,16614718,-0.7,Amino Acids
Amino Acids,200908_Std_2.5uM_GBTFate1T0_A-1,Threonine,3.15,260388944,3050755,153489648,-1.4,Amino Acids
Amino Acids,200908_Std_0uM_GBTFate1T0_A-2,Threonine,3.14,17343978,0,7076476,-1.3,Amino Acids
Amino Acids,200908_Std_0.5uM_GBTFate1T0_A-2,Threonine,3.14,229080096,1477290,104123352,-0.9,Amino Acids
Amino Acids,200908_Std_1.0uM_GBTFate1T0_A-2,Threonine,3.14,397064128,2752729,131996200,-1.1,Amino Acids
Amino Acids,200908_Std_2.5uM_GBTFate1T0_A-2,Threonine,3.14,733909952,4525004,285684832,-1.9,Amino Acids
Amino Acids,191001_Std_AA_AA-IS,Alanine,3.41,337701888,3926226,214520992,-0.4,Amino Acids
Amino Acids,200908_Blk_GBTFateBlk_A,Alanine,3.1,189175712,2351493,74724448,-0.9,Amino Acids
Amino Acids,200908_Blk_GBTFateBlk_B,Alanine,3.1,181789632,2128541,57456360,-0.7,Amino Acids
Amino Acids,200908_Smp_GBTFate1T0_A,Alanine,3.49,43338708,681182,17679424,-0.9,Amino Acids
Amino Acids,200908_Smp_GBTFate1T0_B,Alanine,3.5,218144096,1409688,84996448,-0.8,Amino Acids
Amino Acids,200908_Smp_GBTFate1T0_C,Alanine,3.1,198515920,1502555,80153472,-0.7,Amino Acids
Amino Acids,200908_Smp_GBTFate2T0_A,Alanine,3.5,81628576,1238029,27177352,-0.8,Amino Acids
Amino Acids,200908_Smp_GBTFate2T0_B,Alanine,3.1,203710480,2264315,91279096,-0.9,Amino Acids
Amino Acids,200908_Smp_GBTFate2T0_C,Alanine,3.5,125394104,1202824,44237704,-0.7,Amino Acids
Amino Acids,200908_Smp_GBTFate1Tlong_A,Alanine,3.49,167677504,444908,74632640,-0.9,Amino Acids
Amino Acids,200908_Smp_GBTFate1Tlong_B,Alanine,3.5,177386352,1955877,78250376,-0.7,Amino Acids
Amino Acids,200908_Smp_GBTFate1Tlong_C,Alanine,3.1,195124320,902265,77324304,-0.8,Amino Acids
Amino Acids,200908_Smp_GBTFate2Tlong_A,Alanine,3.49,97067904,911543,38959796,-0.4,Amino Acids
Amino Acids,200908_Smp_GBTFate2Tlong_B,Alanine,3.5,48780076,887049,19028558,-1.3,Amino Acids
Amino Acids,200908_Std_0.5uM_GBTFate1T0_A-1,Alanine,3.53,86766832,605303,56412376,-0.6,Amino Acids
Amino Acids,200908_Std_1.0uM_GBTFate1T0_A-1,Alanine,3.5,176561904,1260358,109299432,-0.9,Amino Acids
Amino Acids,200908_Std_0uM_GBTFate1T0_A-1,Alanine,3.12,95348992,1179290,57031316,-0.8,Amino Acids
Amino Acids,200908_Smp_GBTFate2Tlong_C,Alanine,3.09,209959408,2387605,95190720,-0.2,Amino Acids
Amino Acids,200908_Std_2.5uM_GBTFate1T0_A-1,Alanine,3.51,253932912,3034715,172408416,-0.7,Amino Acids
Amino Acids,200908_Std_0uM_GBTFate1T0_A-2,Alanine,3.09,211128848,2544248,77426552,-0.9,Amino Acids
Amino Acids,200908_Std_0.5uM_GBTFate1T0_A-2,Alanine,3.49,245314832,2796591,124738016,-0.6,Amino Acids
Amino Acids,200908_Std_1.0uM_GBTFate1T0_A-2,Alanine,3.49,432683072,2571793,177038288,-0.8,Amino Acids
Amino Acids,200908_Std_2.5uM_GBTFate1T0_A-2,Alanine,3.5,710521664,7410853,302930528,-1.5,Amino Acids
Amino Acids,191001_Std_AA_AA-IS,Proline,3.77,302833184,1719830,243756128,-1,Amino Acids
Amino Acids,200908_Blk_GBTFateBlk_A,Proline,3.83,4318344,0,2390092,-0.9,Amino Acids
Amino Acids,200908_Blk_GBTFateBlk_B,Proline,3.83,8794295,0,5135411,-1,Amino Acids
Amino Acids,200908_Smp_GBTFate1T0_A,Proline,3.82,17197858,0,10612537,-0.7,Amino Acids
Amino Acids,200908_Smp_GBTFate1T0_B,Proline,3.83,86155768,723955,46779432,-0.7,Amino Acids
Amino Acids,200908_Smp_GBTFate1T0_C,Proline,3.83,21846050,307824,15506730,-0.9,Amino Acids
Amino Acids,200908_Smp_GBTFate2T0_A,Proline,3.83,34675916,278891,15333052,-0.8,Amino Acids
Amino Acids,200908_Smp_GBTFate2T0_B,Proline,3.83,27206860,127798,20145708,-1,Amino Acids
Amino Acids,200908_Smp_GBTFate2T0_C,Proline,3.83,51358504,175768,27783512,-0.5,Amino Acids
Amino Acids,200908_Smp_GBTFate1Tlong_A,Proline,3.82,69004280,502042,43466656,-0.8,Amino Acids
Amino Acids,200908_Smp_GBTFate1Tlong_B,Proline,3.83,81945408,835549,57307824,-1.1,Amino Acids
Amino Acids,200908_Smp_GBTFate1Tlong_C,Proline,3.83,34313928,292571,20774252,-0.9,Amino Acids
Amino Acids,200908_Smp_GBTFate2Tlong_A,Proline,3.82,42022212,0,22087168,-0.3,Amino Acids
Amino Acids,200908_Smp_GBTFate2Tlong_B,Proline,3.82,20852790,105970,13414446,-1,Amino Acids
Amino Acids,200908_Std_0.5uM_GBTFate1T0_A-1,Proline,3.86,66445940,178398,50446208,-0.7,Amino Acids
Amino Acids,200908_Std_1.0uM_GBTFate1T0_A-1,Proline,3.83,142985424,1059456,104236288,-0.8,Amino Acids
Amino Acids,200908_Std_0uM_GBTFate1T0_A-1,Proline,3.85,5552535,0,4379476,-0.8,Amino Acids
Amino Acids,200908_Smp_GBTFate2Tlong_C,Proline,3.83,43924108,250165,31616570,-0.2,Amino Acids
Amino Acids,200908_Std_2.5uM_GBTFate1T0_A-1,Proline,3.83,238693456,1466366,186071760,-0.9,Amino Acids
Amino Acids,200908_Std_0uM_GBTFate1T0_A-2,Proline,3.82,16401970,0,11063131,-1.1,Amino Acids
Amino Acids,200908_Std_0.5uM_GBTFate1T0_A-2,Proline,3.82,206351584,573712,139406688,-0.5,Amino Acids
