Compound.Name,Emperical.Formula,Column,m.z,z,C,N,this.N,possibilities,names.isotopes,iso.mz,Compound.and.Iso.name
Chlorophyll,C55H72O2N4Mg,Lipid,893.5426,1,55,4,4,280,13C-21 15N-2,916.6071059999999,Chlorophyll_13C-21 15N-2
Chlorophyll,C55H72O2N4Mg,Lipid,893.5426,1,55,4,4,280,13C-22 15N-2,917.61046,Chlorophyll_13C-22 15N-2
Chlorophyll,C55H72O2N4Mg,Lipid,893.5426,1,55,4,4,280,13C-23 15N-2,918.6138139999999,Chlorophyll_13C-23 15N-2
Chlorophyll,C55H72O2N4Mg,Lipid,893.5426,1,55,4,4,280,13C-24 15N-2,919.617168,Chlorophyll_13C-24 15N-2
Chlorophyll,C55H72O2N4Mg,Lipid,893.5426,1,55,4,4,280,13C-25 15N-2,920.6205219999999,Chlorophyll_13C-25 15N-2
Chlorophyll,C55H72O2N4Mg,Lipid,893.5426,1,55,4,4,280,13C-26 15N-2,921.623876,Chlorophyll_13C-26 15N-2
Chlorophyll,C55H72O2N4Mg,Lipid,893.5426,1,55,4,4,280,13C-27 15N-2,922.6272299999999,Chlorophyll_13C-27 15N-2
Chlorophyll,C55H72O2N4Mg,Lipid,893.5426,1,55,4,4,280,13C-28 15N-2,923.630584,Chlorophyll_13C-28 15N-2
Chlorophyll,C55H72O2N4Mg,Lipid,893.5426,1,55,4,4,280,13C-29 15N-2,924.633938,Chlorophyll_13C-29 15N-2
Chlorophyll,C55H72O2N4Mg,Lipid,893.5426,1,55,4,4,280,13C-30 15N-2,925.637292,Chlorophyll_13C-30 15N-2
Chlorophyll,C55H72O2N4Mg,Lipid,893.5426,1,55,4,4,280,13C-31 15N-2,926.640646,Chlorophyll_13C-31 15N-2
Chlorophyll,C55H72O2N4Mg,Lipid,893.5426,1,55,4,4,280,13C-32 15N-2,927.644,Chlorophyll_13C-32 15N-2
Chlorophyll,C55H72O2N4Mg,Lipid,893.5426,1,55,4,4,280,13C-33 15N-2,928.647354,Chlorophyll_13C-33 15N-2
Chlorophyll,C55H72O2N4Mg,Lipid,893.5426,1,55,4,4,280,13C-34 15N-2,929.650708,Chlorophyll_13C-34 15N-2
Chlorophyll,C55H72O2N4Mg,Lipid,893.5426,1,55,4,4,280,13C-35 15N-2,930.654062,Chlorophyll_13C-35 15N-2
Chlorophyll,C55H72O2N4Mg,Lipid,893.5426,1,55,4,4,280,13C-36 15N-2,931.657416,Chlorophyll_13C-36 15N-2
Chlorophyll,C55H72O2N4Mg,Lipid,893.5426,1,55,4,4,280,13C-37 15N-2,932.66077,Chlorophyll_13C-37 15N-2
Chlorophyll,C55H72O2N4Mg,Lipid,893.5426,1,55,4,4,280,13C-38 15N-2,933.6641239999999,Chlorophyll_13C-38 15N-2
