Experiment,Timepoint,Incubation time (hr),Metabolite,Isotopologue,C.lab,N.lab,iso.mz,ionization,nM.in.Sample.ave,nM.in.sample.sd,MID.mean,MID.sd
Fate2,0,0.3,"(R)-2,3-Dihydroxypropane-1-sulfonate","(R)-2,3-Dihydroxypropane-1-sulfonate_13C-1",1,0,156.004776,neg,0.001643575739440118,0.0014547584893155798,0.007551343562435906,0.006550887340533591
Fate2,12,13,"(R)-2,3-Dihydroxypropane-1-sulfonate","(R)-2,3-Dihydroxypropane-1-sulfonate_13C-1",1,0,156.004776,neg,0.002332318507291949,0.002046435767262966,0.008336608316845576,0.0072419722371027395
Fate2,24,25,"(R)-2,3-Dihydroxypropane-1-sulfonate","(R)-2,3-Dihydroxypropane-1-sulfonate_13C-1",1,0,156.004776,neg,0.0026734250387197337,4.4482295964137314e-4,0.009178267564550816,0.0012687687864421883
Fate2,48,51,"(R)-2,3-Dihydroxypropane-1-sulfonate","(R)-2,3-Dihydroxypropane-1-sulfonate_13C-1",1,0,156.004776,neg,0.0022652918541461536,0.002042267940207217,0.006391084764011995,0.005669004450852275
Fate2,5,6,"(R)-2,3-Dihydroxypropane-1-sulfonate","(R)-2,3-Dihydroxypropane-1-sulfonate_13C-1",1,0,156.004776,neg,0.001026456227604846,0.001049129265749284,0.005788183402055839,0.005590683854357362
Fate2,96,100,"(R)-2,3-Dihydroxypropane-1-sulfonate","(R)-2,3-Dihydroxypropane-1-sulfonate_13C-1",1,0,156.004776,neg,5.141889593690687e-4,8.906014023181961e-4,0.0027597850453774547,0.004780087916562531
Fate1,0,0.5,Adenine,Adenine_13C-0 15N-0,0,0,136.06232,pos,0.018033210770813636,0.00794940808610921,0.9512153615160293,0.003028598594827236
Fate1,12,12.5,Adenine,Adenine_13C-0 15N-0,0,0,136.06232,pos,0.028930940372121496,0.00904209145703209,0.9386084516651642,0.005476046123365454
Fate1,36,36,Adenine,Adenine_13C-0 15N-0,0,0,136.06232,pos,0.028295767684608973,0.00709291877200902,0.9208759153767065,0.0028354245262611605
Fate1,4,4.5,Adenine,Adenine_13C-0 15N-0,0,0,136.06232,pos,0.018385740107694157,0.010858814808896767,0.9172867085330635,0.05741754665087153
Fate1,50,50,Adenine,Adenine_13C-0 15N-0,0,0,136.06232,pos,0.033354583647524666,0.0029925413701440483,0.9130270271806836,0.0030093245313594025
Fate1,8,9,Adenine,Adenine_13C-0 15N-0,0,0,136.06232,pos,0.011996048153287262,0.0032495704736869575,0.9387407555328136,0.008134868826499159
Fate1,96,98,Adenine,Adenine_13C-0 15N-0,0,0,136.06232,pos,0.023313752349642468,0.014117330197341396,0.9083587710787351,0.010839988612619453
Fate2,0,0.3,Adenine,Adenine_13C-0 15N-0,0,0,136.06232,pos,0.030475797725706823,0.00943924289739894,0.9451633358370342,0.002242155552054587
Fate2,12,13,Adenine,Adenine_13C-0 15N-0,0,0,136.06232,pos,0.017987238978158265,0.012906042176792231,0.9457383737740609,0.008748004652930448
Fate2,24,25,Adenine,Adenine_13C-0 15N-0,0,0,136.06232,pos,0.03131583614701373,0.010548742010959027,0.9259051032073876,0.0036682450538723936
Fate2,48,51,Adenine,Adenine_13C-0 15N-0,0,0,136.06232,pos,0.029829760066644128,0.012502953113488098,0.9006662953641151,0.006090678917064693
Fate2,5,6,Adenine,Adenine_13C-0 15N-0,0,0,136.06232,pos,0.019903836892699672,0.01266635402130359,0.9468800288555457,0.006001423507321091
Fate2,96,100,Adenine,Adenine_13C-0 15N-0,0,0,136.06232,pos,0.028540954674070335,0.017254689070138707,0.8527101519220758,0.007447177801515834
Fate1,0,0.5,Adenine,Adenine_13C-0 15N-1,0,1,137.059356,pos,1.9587437041540035e-4,8.297712747016617e-5,0.01047687010134601,8.210700250230128e-4
Fate1,12,12.5,Adenine,Adenine_13C-0 15N-1,0,1,137.059356,pos,3.532121096316228e-4,1.1954746827004494e-4,0.011374010458062158,4.8090832279689755e-4
Fate1,36,36,Adenine,Adenine_13C-0 15N-1,0,1,137.059356,pos,4.243270039444299e-4,1.277684920936716e-4,0.013710546732495922,7.188905459453562e-4
Fate1,4,4.5,Adenine,Adenine_13C-0 15N-1,0,1,137.059356,pos,2.6059584561829183e-4,2.1004764533162501e-4,0.01190183452162444,0.001695214450947091
Fate1,50,50,Adenine,Adenine_13C-0 15N-1,0,1,137.059356,pos,5.42256532810209e-4,7.498913913284973e-5,0.01479836860938195,7.493204918339856e-4
Fate1,8,9,Adenine,Adenine_13C-0 15N-1,0,1,137.059356,pos,1.4232152818352024e-4,4.728134401062278e-5,0.011030358862110885,0.0017023841548208154
Fate1,96,98,Adenine,Adenine_13C-0 15N-1,0,1,137.059356,pos,4.0265857549988925e-4,2.6694321084383914e-4,0.015344328469335443,6.853397243545137e-4
Fate2,0,0.3,Adenine,Adenine_13C-0 15N-1,0,1,137.059356,pos,3.731805120512722e-4,1.2822554962716633e-4,0.011484609677519625,4.308194102573156e-4
Fate2,12,13,Adenine,Adenine_13C-0 15N-1,0,1,137.059356,pos,2.0904925377162903e-4,1.948254400157765e-4,0.009683761502182866,0.0035709549279078013
Fate2,24,25,Adenine,Adenine_13C-0 15N-1,0,1,137.059356,pos,4.867987130839489e-4,1.5621737438751155e-4,0.014472557195896704,6.272841647489729e-4
Fate2,48,51,Adenine,Adenine_13C-0 15N-1,0,1,137.059356,pos,5.673856117588455e-4,3.053910640794174e-4,0.016605045443997792,0.0023321002527869005
Fate2,5,6,Adenine,Adenine_13C-0 15N-1,0,1,137.059356,pos,2.3747960924080225e-4,1.6792158529327014e-4,0.010451214829816183,0.0019282610352277024
Fate2,96,100,Adenine,Adenine_13C-0 15N-1,0,1,137.059356,pos,8.639668757944685e-4,4.718135547071584e-4,0.027146081068910498,0.003521366546916524
Fate1,0,0.5,Adenine,Adenine_13C-1 15N-0,1,0,137.065674,pos,7.43856307520795e-4,3.715729204217425e-4,0.038145047024890855,0.003712158816099761
Fate1,12,12.5,Adenine,Adenine_13C-1 15N-0,1,0,137.065674,pos,0.00150826799118872,5.818017736905897e-4,0.04803381558482243,0.003986229414722932
Fate1,36,36,Adenine,Adenine_13C-1 15N-0,1,0,137.065674,pos,0.0018399908117686487,5.232351693214024e-4,0.05954697643947587,0.0019564872643402014
Fate1,4,4.5,Adenine,Adenine_13C-1 15N-0,1,0,137.065674,pos,0.0014998339954012084,0.001752527098400667,0.05786271948483961,0.03397374120307017
Fate1,50,50,Adenine,Adenine_13C-1 15N-0,1,0,137.065674,pos,0.002255211989368027,2.488918088127728e-4,0.061650218418035745,0.0012833706005652942
Fate1,8,9,Adenine,Adenine_13C-1 15N-0,1,0,137.065674,pos,5.945125564769315e-4,1.119212285083534e-4,0.04722146969698667,0.005045423979186823
Fate1,96,98,Adenine,Adenine_13C-1 15N-0,1,0,137.065674,pos,0.0016149121489572355,0.0011541876242523838,0.06037366473224868,0.0055034611179585625
Fate2,0,0.3,Adenine,Adenine_13C-1 15N-0,1,0,137.065674,pos,0.00139287380879032,4.8421313466589995e-4,0.04285751451438697,0.0015436258759022557
Fate2,12,13,Adenine,Adenine_13C-1 15N-0,1,0,137.065674,pos,8.719577872902738e-4,7.432966482054499e-4,0.04295959567620887,0.005556947878071219
Fate2,24,25,Adenine,Adenine_13C-1 15N-0,1,0,137.065674,pos,0.0018054612791723495,7.134579474824038e-4,0.05267319669375689,0.0029354846466603346
Fate2,48,51,Adenine,Adenine_13C-1 15N-0,1,0,137.065674,pos,0.0021169687400467603,9.61378915253804e-4,0.06326150250070638,0.002424721667462047
Fate2,5,6,Adenine,Adenine_13C-1 15N-0,1,0,137.065674,pos,9.23738265397098e-4,6.222482621476994e-4,0.04224746664734725,0.003717505253243991
Fate2,96,100,Adenine,Adenine_13C-1 15N-0,1,0,137.065674,pos,0.0024532655465436754,0.0015934521092562171,0.07076706675041715,0.0056414953019336255
Fate1,0,0.5,Adenine,Adenine_13C-1 15N-1,1,1,138.06271,pos,0,0,0,0
Fate1,12,12.5,Adenine,Adenine_13C-1 15N-1,1,1,138.06271,pos,1.2119307231034134e-5,1.2317028046549831e-5,3.268144225220585e-4,3.149519390481524e-4
Fate1,36,36,Adenine,Adenine_13C-1 15N-1,1,1,138.06271,pos,3.6282435784229946e-5,1.5398242524262016e-5,0.0011470671760810056,2.1439718500839357e-4
Fate1,4,4.5,Adenine,Adenine_13C-1 15N-1,1,1,138.06271,pos,4.4740936470705434e-5,7.749357514547318e-5,0.0012329740541112157,0.002135573706134804
Fate1,50,50,Adenine,Adenine_13C-1 15N-1,1,1,138.06271,pos,5.921503052325769e-5,9.681679741484012e-6,0.0016134785413684449,1.2468795407322438e-4
Fate1,8,9,Adenine,Adenine_13C-1 15N-1,1,1,138.06271,pos,0,0,0,0
Fate1,96,98,Adenine,Adenine_13C-1 15N-1,1,1,138.06271,pos,6.106823331078752e-5,5.6554320841684866e-5,0.0020889126848135714,6.869355091422348e-4
Fate2,0,0.3,Adenine,Adenine_13C-1 15N-1,1,1,138.06271,pos,6.764247942482091e-6,6.571399805307303e-6,1.7859703827719544e-4,1.595116956311901e-4
Fate2,12,13,Adenine,Adenine_13C-1 15N-1,1,1,138.06271,pos,6.835240438515052e-6,9.616825043296097e-6,2.491305591053699e-4,2.292910707527443e-4
Fate2,24,25,Adenine,Adenine_13C-1 15N-1,1,1,138.06271,pos,4.880792798173121e-5,1.23530102993643e-5,0.0014833740982905103,2.4285674788252824e-4
Fate2,48,51,Adenine,Adenine_13C-1 15N-1,1,1,138.06271,pos,1.0758479718142984e-4,4.962348254887248e-5,0.0032127719734086706,1.6311680637083338e-4
Fate2,5,6,Adenine,Adenine_13C-1 15N-1,1,1,138.06271,pos,0,0,0,0
Fate2,96,100,Adenine,Adenine_13C-1 15N-1,1,1,138.06271,pos,2.618213842492994e-4,1.7497562046795e-4,0.007377940513159794,0.0010545649257483946
Fate1,0,0.5,Adenine,Adenine_13C-2 15N-0,2,0,138.069028,pos,2.7262592822270586e-6,3.1892830211684704e-6,1.6272135773393872e-4,1.4612524137246652e-4
