MassFeature,Protein Name,Experiment,Timepoint,type,replicate,Concentration_uM.in.vial,Time of day,Vol Filtered (L),Incubation time (hr),Time since last sample (hr),nM.in.sample
Trehalose_13C-0,Trehalose,Fate2,12,Smp,C,0.10235974085378462,1900,2,13,7,0.02530196314251084
Trehalose_13C-0,Trehalose,Fate2,24,Smp,A,0.1959633101235643,700,2,25,12,0.048439517418410113
Trehalose_13C-0,Trehalose,Fate2,24,Smp,B,0.14460751765757632,700,2,25,12,0.035745050264717436
Trehalose_13C-0,Trehalose,Fate2,24,Smp,C,0.1416871834115151,700,2,25,12,0.03502318257688104
Trehalose_13C-0,Trehalose,Fate2,48,Smp,A,0.3052782703371533,900,2,51,26,0.07546071805040648
Trehalose_13C-0,Trehalose,Fate2,48,Smp,B,0.4487025627117505,900,2,51,26,0.1109132908015086
Trehalose_13C-0,Trehalose,Fate2,48,Smp,C,0.25202160475863333,900,2,51,26,0.06229638040827072
Trehalose_13C-0,Trehalose,Fate2,5,Smp,A,0.01979584384440594,1300,2,6,5.75,0.0048932686537525565
Trehalose_13C-0,Trehalose,Fate2,5,Smp,B,0.0604537009132101,1300,2,6,5.75,0.014943348816400028
Trehalose_13C-0,Trehalose,Fate2,5,Smp,C,0.029649598161453093,1300,2,6,5.75,0.007328985337535719
Trehalose_13C-0,Trehalose,Fate2,96,Smp,A,0.06342270379393317,1000,2,100,49,0.015677246741809696
Trehalose_13C-0,Trehalose,Fate2,96,Smp,B,0.1495796204555526,1000,2,100,49,0.036974087781673194
Trehalose_13C-0,Trehalose,Fate2,96,Smp,C,0.15939773195564558,1000,2,100,49,0.03940099403634285
Trehalose_13C-0,Trehalose,Fate1,NA,Blk,A,NA,NA,NA,NA,NA,NA
Trehalose_13C-0,Trehalose,Fate1,NA,Blk,B,NA,NA,NA,NA,NA,NA
