Isotopologue,Experiment,p.value,sig
Glycerophosphocholine_13C-0 15N-1,Fate1,0.037552623470831104,TRUE
Glycerophosphocholine_13C-0 15N-1,Fate2,0.08064010241379953,FALSE
Glycerophosphocholine_13C-1 15N-0,Fate1,3.5268364985686786e-10,TRUE
Glycerophosphocholine_13C-1 15N-0,Fate2,0.01856981140361875,TRUE
Glycerophosphocholine_13C-2 15N-0,Fate1,0.11856573535124267,FALSE
Glycerophosphocholine_13C-2 15N-0,Fate2,0.13369279218630964,FALSE
Glycerophosphocholine_13C-2 15N-1,Fate1,0.7896341514839256,FALSE
Glycerophosphocholine_13C-2 15N-1,Fate2,0.8750430185301485,FALSE
Glycerophosphocholine_13C-3 15N-0,Fate1,0.5696682000471047,FALSE
Glycerophosphocholine_13C-4 15N-1,Fate1,5.861627307068901e-14,TRUE
Glycerophosphocholine_13C-4 15N-1,Fate2,1.0202653852936398e-10,TRUE
Glycerophosphocholine_13C-5 15N-0,Fate1,1.9059627492065246e-14,TRUE
Glycerophosphocholine_13C-5 15N-0,Fate2,0.0051648952486902395,TRUE
Glycerophosphocholine_13C-5 15N-1,Fate1,3.853820153655858e-13,TRUE
Glycerophosphocholine_13C-5 15N-1,Fate2,5.985581505981046e-19,TRUE
Glycine betaine_13C-0 15N-0,Fate1,0.0013986562136160477,TRUE
Glycine betaine_13C-0 15N-0,Fate2,0.01448925800992515,TRUE
Glycine betaine_13C-0 15N-1,Fate1,0.0025579942798262937,TRUE
Glycine betaine_13C-0 15N-1,Fate2,0.0323180389101959,TRUE
Glycine betaine_13C-1 15N-0,Fate1,0.0014937436845188158,TRUE
Glycine betaine_13C-1 15N-0,Fate2,0.01735370838783787,TRUE
Glycine betaine_13C-1 15N-1,Fate1,0.02128064582566106,TRUE
Glycine betaine_13C-1 15N-1,Fate2,0.10853873555620765,FALSE
Glycine betaine_13C-2 15N-0,Fate1,0.004100237490529128,TRUE
Glycine betaine_13C-2 15N-0,Fate2,0.07093459137131418,FALSE
Glycine betaine_13C-3 15N-0,Fate1,8.695194739203734e-5,TRUE
Glycine betaine_13C-3 15N-0,Fate2,0.002668840001915481,TRUE
Glycine betaine_13C-3 15N-1,Fate1,1.8176103216979625e-11,TRUE
Glycine betaine_13C-3 15N-1,Fate2,1.834969010426735e-5,TRUE
Glycine betaine_13C-4 15N-0,Fate1,1.0997635555946447e-5,TRUE
Glycine betaine_13C-4 15N-0,Fate2,0.0013241713837613253,TRUE
Glycine betaine_13C-4 15N-1,Fate1,9.485827301635566e-4,TRUE
Glycine betaine_13C-4 15N-1,Fate2,0.008675656595515165,TRUE
Glycine betaine_13C-5 15N-0,Fate1,6.249985993572487e-4,TRUE
Glycine betaine_13C-5 15N-0,Fate2,0.009546977434063521,TRUE
Glycine betaine_13C-5 15N-1,Fate1,0.0014392363062033005,TRUE
Glycine betaine_13C-5 15N-1,Fate2,0.014963848546748402,TRUE
Gonyol_13C-0,Fate1,4.2688876763422465e-5,TRUE
Gonyol_13C-0,Fate2,9.720931898836256e-11,TRUE
Gonyol_13C-1,Fate1,6.0701825171512277e-5,TRUE
Gonyol_13C-1,Fate2,5.787727508478604e-10,TRUE
Gonyol_13C-2,Fate1,4.822451757752961e-5,TRUE
Gonyol_13C-2,Fate2,2.0955857671985226e-13,TRUE
Guanine_13C-0 15N-0,Fate1,0.020238513749000344,TRUE
Guanine_13C-0 15N-0,Fate2,2.4635414165445458e-8,TRUE
Guanine_13C-0 15N-1,Fate1,0.001997760513414468,TRUE
Guanine_13C-0 15N-1,Fate2,3.5326529131081816e-6,TRUE
Guanine_13C-1 15N-0,Fate1,0.013126070614116771,TRUE
Guanine_13C-1 15N-0,Fate2,2.798555619734347e-6,TRUE
Guanine_13C-1 15N-1,Fate1,0.033660231819899196,TRUE
Guanine_13C-1 15N-1,Fate2,2.7522346499723716e-7,TRUE
Guanine_13C-2 15N-0,Fate1,0.003222977598172384,TRUE
Guanine_13C-2 15N-0,Fate2,4.111043471131685e-11,TRUE
Guanine_13C-2 15N-1,Fate1,0.5802023126363246,FALSE
Guanine_13C-2 15N-1,Fate2,2.985279980825186e-9,TRUE
Guanine_13C-3 15N-1,Fate1,0.20301537031482855,FALSE
Guanine_13C-3 15N-1,Fate2,5.123322498126107e-9,TRUE
Guanine_13C-4 15N-1,Fate1,0.005965010176529019,TRUE
Guanine_13C-4 15N-1,Fate2,3.3381800022645866e-8,TRUE
Guanosine_13C-0 15N-0,Fate1,0.020542307883234905,TRUE
Guanosine_13C-0 15N-0,Fate2,0.3181990817597434,FALSE
Guanosine_13C-0 15N-1,Fate2,0.5509436051639542,FALSE
