type,SampID,Experiment,Timepoint,ionization,runDate,N.lab,C.lab,Precursor Ion Name,Protein Name,Fraction1,iso.mz,MID.mean,MID.sd,Area.filled.w.background.mean,Area.filled.w.background.sd
Smp,GBTFate1MT50,Fate1,50,IS,200605,0,0,Trehalose_13C-0,Trehalose,HILICNeg,341.10839,1,0,628768,528642.8062813302
Smp,GBTFate1MT50,Fate1,50,IS,200605,0,1,"(R)-2,3-Dihydroxypropane-1-sulfonate_13C-1","(R)-2,3-Dihydroxypropane-1-sulfonate",HILICNeg,156.004776,0.006628326824580315,0.0017813274065788434,1141995.6666666667,548964.1891073892
Smp,GBTFate1MT50,Fate1,50,IS,200605,0,1,Isethionic acid_13C-1,Isethionic acid,HILICNeg,125.994211,0.012631666176251657,0.010974553139146241,4924959.333333333,4485198.71361084
Smp,GBTFate1MT50,Fate1,50,IS,200605,0,1,Sucrose_13C-1,Sucrose,HILICNeg,342.111744,NaN,NA,0,0
Smp,GBTFate1MT50,Fate1,50,neg,200605,0,0,"(R)-2,3-Dihydroxypropane-1-sulfonate_13C-0","(R)-2,3-Dihydroxypropane-1-sulfonate",HILICNeg,155.001422,0.9841508907044866,0.0012445686282054553,114506690.66666667,29188243.592197552
Smp,GBTFate1MT50,Fate1,50,neg,200605,0,0,Isethionic acid_13C-0,Isethionic acid,HILICNeg,124.990857,0.9890962425452096,4.295838973196364e-4,302755010.3333333,75007024.8389381
Smp,GBTFate1MT50,Fate1,50,neg,200605,0,0,Trehalose_13C-0,Trehalose,HILICNeg,341.10839,1,0,118254.33333333333,59839.45622524768
Smp,GBTFate1MT50,Fate1,50,neg,200605,0,1,"(R)-2,3-Dihydroxypropane-1-sulfonate_13C-1","(R)-2,3-Dihydroxypropane-1-sulfonate",HILICNeg,156.004776,0.015849109295513444,0.0012445686282054683,1851020.6666666667,520162.7451580258
Smp,GBTFate1MT50,Fate1,50,neg,200605,0,1,Isethionic acid_13C-1,Isethionic acid,HILICNeg,125.994211,0.010903757454790481,4.295838973196487e-4,3354907.3333333335,952203.9504624697
Smp,GBTFate1MT50,Fate1,50,neg,200605,0,1,Sucrose_13C-1,Sucrose,HILICNeg,342.111744,NaN,NA,0,0
Smp,GBTFate1MT8,Fate1,8,IS,200605,0,0,"(R)-2,3-Dihydroxypropane-1-sulfonate_13C-0","(R)-2,3-Dihydroxypropane-1-sulfonate",HILICNeg,155.001422,0.9985174904721483,0.0025677818249440435,77934496,7739052.872436523
Smp,GBTFate1MT8,Fate1,8,IS,200605,0,0,Isethionic acid_13C-0,Isethionic acid,HILICNeg,124.990857,0.9913588730854496,0.0021667042294188136,158972679.66666666,21265652.399197098
Smp,GBTFate1MT8,Fate1,8,IS,200605,0,0,Trehalose_13C-0,Trehalose,HILICNeg,341.10839,1,0,10468815.333333334,12771151.26701682
Smp,GBTFate1MT8,Fate1,8,IS,200605,0,1,"(R)-2,3-Dihydroxypropane-1-sulfonate_13C-1","(R)-2,3-Dihydroxypropane-1-sulfonate",HILICNeg,156.004776,0.0014825095278516675,0.0025677818249440353,121706,210800.97558597778
Smp,GBTFate1MT8,Fate1,8,IS,200605,0,1,Isethionic acid_13C-1,Isethionic acid,HILICNeg,125.994211,0.00864112691455048,0.002166704229418806,1373345.3333333333,335225.0655161892
Smp,GBTFate1MT8,Fate1,8,IS,200605,0,1,Sucrose_13C-1,Sucrose,HILICNeg,342.111744,NaN,NA,927656.6666666666,1606748.4786466528
Smp,GBTFate1MT8,Fate1,8,neg,200605,0,0,"(R)-2,3-Dihydroxypropane-1-sulfonate_13C-0","(R)-2,3-Dihydroxypropane-1-sulfonate",HILICNeg,155.001422,0.9899796063549081,0.0016209204810255836,53127748,8430286.925898548
Smp,GBTFate1MT8,Fate1,8,neg,200605,0,0,Isethionic acid_13C-0,Isethionic acid,HILICNeg,124.990857,0.9921130262931741,0.0020771711527633498,121698506.33333333,45488637.25328959
Smp,GBTFate1MT8,Fate1,8,neg,200605,0,0,Trehalose_13C-0,Trehalose,HILICNeg,341.10839,1,NA,415073,NA
Smp,GBTFate1MT8,Fate1,8,neg,200605,0,1,"(R)-2,3-Dihydroxypropane-1-sulfonate_13C-1","(R)-2,3-Dihydroxypropane-1-sulfonate",HILICNeg,156.004776,0.01002039364509187,0.0016209204810255368,544191.3333333334,151462.30297448052
Smp,GBTFate1MT8,Fate1,8,neg,200605,0,1,Isethionic acid_13C-1,Isethionic acid,HILICNeg,125.994211,0.007886973706825836,0.002077171152763375,1031598.3333333334,565114.2409286225
Smp,GBTFate1MT8,Fate1,8,neg,200605,0,1,Sucrose_13C-1,Sucrose,HILICNeg,342.111744,NaN,NA,517267,895932.7250787305
Smp,GBTFate1MTlong,Fate1,96,IS,200605,0,0,"(R)-2,3-Dihydroxypropane-1-sulfonate_13C-0","(R)-2,3-Dihydroxypropane-1-sulfonate",HILICNeg,155.001422,0.9922447188671337,0.003231219251978349,184051152,69363109.88031237
Smp,GBTFate1MTlong,Fate1,96,IS,200605,0,0,Isethionic acid_13C-0,Isethionic acid,HILICNeg,124.990857,0.9839228289796632,0.005966816508887322,544182653,64261964.39444434
Smp,GBTFate1MTlong,Fate1,96,IS,200605,0,0,Trehalose_13C-0,Trehalose,HILICNeg,341.10839,1,0,4938310.333333333,1345691.594671429
Smp,GBTFate1MTlong,Fate1,96,IS,200605,0,1,"(R)-2,3-Dihydroxypropane-1-sulfonate_13C-1","(R)-2,3-Dihydroxypropane-1-sulfonate",HILICNeg,156.004776,0.0077552811328662425,0.003231219251978376,1567176.6666666667,1120427.0970734032
Smp,GBTFate1MTlong,Fate1,96,IS,200605,0,1,Isethionic acid_13C-1,Isethionic acid,HILICNeg,125.994211,0.016077171020336737,0.005966816508887352,9084710,3978256.5844434923
Smp,GBTFate1MTlong,Fate1,96,IS,200605,0,1,Sucrose_13C-1,Sucrose,HILICNeg,342.111744,NaN,NA,51797.666666666664,89716.19038018351
Smp,GBTFate1MTlong,Fate1,96,neg,200605,0,0,"(R)-2,3-Dihydroxypropane-1-sulfonate_13C-0","(R)-2,3-Dihydroxypropane-1-sulfonate",HILICNeg,155.001422,0.9847077972125599,0.001831155529140675,130106570.66666667,31220292.24002039
Smp,GBTFate1MTlong,Fate1,96,neg,200605,0,0,Isethionic acid_13C-0,Isethionic acid,HILICNeg,124.990857,0.9866268049024457,6.586492883600839e-4,458543314.3333333,90511541.1914146
Smp,GBTFate1MTlong,Fate1,96,neg,200605,0,0,Trehalose_13C-0,Trehalose,HILICNeg,341.10839,1,0,82081,41951.23111423549
Smp,GBTFate1MTlong,Fate1,96,neg,200605,0,1,"(R)-2,3-Dihydroxypropane-1-sulfonate_13C-1","(R)-2,3-Dihydroxypropane-1-sulfonate",HILICNeg,156.004776,0.015292202787440106,0.00183115552914068,2059647.3333333333,758604.7430232251
Smp,GBTFate1MTlong,Fate1,96,neg,200605,0,1,Isethionic acid_13C-1,Isethionic acid,HILICNeg,125.994211,0.01337319509755437,6.586492883600801e-4,6256021.333333333,1567844.925167133
Smp,GBTFate1MTlong,Fate1,96,neg,200605,0,1,Sucrose_13C-1,Sucrose,HILICNeg,342.111744,NaN,NA,0,0
Smp,GBTFate2MT0,Fate2,0,IS,200605,0,0,"(R)-2,3-Dihydroxypropane-1-sulfonate_13C-0","(R)-2,3-Dihydroxypropane-1-sulfonate",HILICNeg,155.001422,1,0,45749345.333333336,6691719.4267211575
Smp,GBTFate2MT0,Fate2,0,IS,200605,0,0,Isethionic acid_13C-0,Isethionic acid,HILICNeg,124.990857,0.9962738032605499,0.002915549894217015,101712365,4808358.400345798
Smp,GBTFate2MT0,Fate2,0,IS,200605,0,0,Trehalose_13C-0,Trehalose,HILICNeg,341.10839,1,0,136014.33333333334,72687.55811232988
Smp,GBTFate2MT0,Fate2,0,IS,200605,0,1,"(R)-2,3-Dihydroxypropane-1-sulfonate_13C-1","(R)-2,3-Dihydroxypropane-1-sulfonate",HILICNeg,156.004776,0,0,0,0
Smp,GBTFate2MT0,Fate2,0,IS,200605,0,1,Isethionic acid_13C-1,Isethionic acid,HILICNeg,125.994211,0.0037261967394500452,0.0029155498942170007,372359,274882.76790843037
Smp,GBTFate2MT0,Fate2,0,IS,200605,0,1,Sucrose_13C-1,Sucrose,HILICNeg,342.111744,NaN,NA,0,0
Smp,GBTFate2MT0,Fate2,0,neg,200605,0,0,"(R)-2,3-Dihydroxypropane-1-sulfonate_13C-0","(R)-2,3-Dihydroxypropane-1-sulfonate",HILICNeg,155.001422,0.9924486564375641,0.00655088734053357,28020920,3139021.821493441
Smp,GBTFate2MT0,Fate2,0,neg,200605,0,0,Isethionic acid_13C-0,Isethionic acid,HILICNeg,124.990857,0.9941990824888375,2.2967569919482396e-4,69520638.33333333,10761446.366550053
Smp,GBTFate2MT0,Fate2,0,neg,200605,0,0,Trehalose_13C-0,Trehalose,HILICNeg,341.10839,1,0,196814,55865.104770330465
Smp,GBTFate2MT0,Fate2,0,neg,200605,0,1,"(R)-2,3-Dihydroxypropane-1-sulfonate_13C-1","(R)-2,3-Dihydroxypropane-1-sulfonate",HILICNeg,156.004776,0.007551343562435906,0.006550887340533591,223464,193984.59143962956
Smp,GBTFate2MT0,Fate2,0,neg,200605,0,1,Isethionic acid_13C-1,Isethionic acid,HILICNeg,125.994211,0.005800917511162473,2.296756991948125e-4,406038.6666666667,69873.51975057027
Smp,GBTFate2MT0,Fate2,0,neg,200605,0,1,Sucrose_13C-1,Sucrose,HILICNeg,342.111744,NaN,NA,0,0
Smp,GBTFate2MT12,Fate2,12,IS,200605,0,0,"(R)-2,3-Dihydroxypropane-1-sulfonate_13C-0","(R)-2,3-Dihydroxypropane-1-sulfonate",HILICNeg,155.001422,0.9996368846324126,6.289342656703816e-4,74058256,4780047.394282195
Smp,GBTFate2MT12,Fate2,12,IS,200605,0,0,Isethionic acid_13C-0,Isethionic acid,HILICNeg,124.990857,0.9904778669037819,0.004901568830507544,154650095.66666666,36553987.42358143
Smp,GBTFate2MT12,Fate2,12,IS,200605,0,0,Trehalose_13C-0,Trehalose,HILICNeg,341.10839,1,0,1280770.3333333333,162574.16332964267
Smp,GBTFate2MT12,Fate2,12,IS,200605,0,1,"(R)-2,3-Dihydroxypropane-1-sulfonate_13C-1","(R)-2,3-Dihydroxypropane-1-sulfonate",HILICNeg,156.004776,3.631153675873863e-4,6.289342656704022e-4,26107.333333333332,45219.22778346987
Smp,GBTFate2MT12,Fate2,12,IS,200605,0,1,Isethionic acid_13C-1,Isethionic acid,HILICNeg,125.994211,0.009522133096218114,0.0049015688305075345,1391690.3333333333,433148.0375406696
Smp,GBTFate2MT12,Fate2,12,IS,200605,0,1,Sucrose_13C-1,Sucrose,HILICNeg,342.111744,NaN,NA,2728154.6666666665,4725302.493572801
Smp,GBTFate2MT12,Fate2,12,neg,200605,0,0,"(R)-2,3-Dihydroxypropane-1-sulfonate_13C-0","(R)-2,3-Dihydroxypropane-1-sulfonate",HILICNeg,155.001422,0.9916633916831544,0.007241972237102769,45515144,4395641.948470325
Smp,GBTFate2MT12,Fate2,12,neg,200605,0,0,Isethionic acid_13C-0,Isethionic acid,HILICNeg,124.990857,0.9918575121130077,0.0016376282722382637,117957701,46352555.26445393
Smp,GBTFate2MT12,Fate2,12,neg,200605,0,0,Trehalose_13C-0,Trehalose,HILICNeg,341.10839,1,0,885769.3333333334,377207.03715908236
Smp,GBTFate2MT12,Fate2,12,neg,200605,0,1,"(R)-2,3-Dihydroxypropane-1-sulfonate_13C-1","(R)-2,3-Dihydroxypropane-1-sulfonate",HILICNeg,156.004776,0.008336608316845576,0.0072419722371027395,363466.6666666667,316692.39424768847
Smp,GBTFate2MT12,Fate2,12,neg,200605,0,1,Isethionic acid_13C-1,Isethionic acid,HILICNeg,125.994211,0.008142487886992312,0.0016376282722382334,1018625.6666666666,534838.9465814296
Smp,GBTFate2MT12,Fate2,12,neg,200605,0,1,Sucrose_13C-1,Sucrose,HILICNeg,342.111744,NaN,NA,0,0
Smp,GBTFate2MT24,Fate2,24,IS,200605,0,0,"(R)-2,3-Dihydroxypropane-1-sulfonate_13C-0","(R)-2,3-Dihydroxypropane-1-sulfonate",HILICNeg,155.001422,0.9993488573379257,5.682270465144449e-4,81442085.33333333,9713041.414360248
Smp,GBTFate2MT24,Fate2,24,IS,200605,0,0,Isethionic acid_13C-0,Isethionic acid,HILICNeg,124.990857,0.9944610572991933,0.004880311199800675,175782698.33333334,41546177.48975235
Smp,GBTFate2MT24,Fate2,24,IS,200605,0,0,Trehalose_13C-0,Trehalose,HILICNeg,341.10839,1,0,1814127.6666666667,292005.8302677077
Smp,GBTFate2MT24,Fate2,24,IS,200605,0,1,"(R)-2,3-Dihydroxypropane-1-sulfonate_13C-1","(R)-2,3-Dihydroxypropane-1-sulfonate",HILICNeg,156.004776,6.511426620743491e-4,5.682270465144563e-4,51190.666666666664,44443.33818845444
Smp,GBTFate2MT24,Fate2,24,IS,200605,0,1,Isethionic acid_13C-1,Isethionic acid,HILICNeg,125.994211,0.005538942700806641,0.004880311199800679,907828.3333333334,804360.8424446912
Smp,GBTFate2MT24,Fate2,24,IS,200605,0,1,Sucrose_13C-1,Sucrose,HILICNeg,342.111744,NaN,NA,0,0
Smp,GBTFate2MT24,Fate2,24,neg,200605,0,0,"(R)-2,3-Dihydroxypropane-1-sulfonate_13C-0","(R)-2,3-Dihydroxypropane-1-sulfonate",HILICNeg,155.001422,0.9908217324354492,0.0012687687864421757,47975965.333333336,16161620.211472034
Smp,GBTFate2MT24,Fate2,24,neg,200605,0,0,Isethionic acid_13C-0,Isethionic acid,HILICNeg,124.990857,0.9904394226421925,0.0021231754235085127,130794665,59199963.79441096
Smp,GBTFate2MT24,Fate2,24,neg,200605,0,0,Trehalose_13C-0,Trehalose,HILICNeg,341.10839,1,0,1279612.3333333333,292308.85743222584
Smp,GBTFate2MT24,Fate2,24,neg,200605,0,1,"(R)-2,3-Dihydroxypropane-1-sulfonate_13C-1","(R)-2,3-Dihydroxypropane-1-sulfonate",HILICNeg,156.004776,0.009178267564550816,0.0012687687864421883,451895.3333333333,188371.10728116808
Smp,GBTFate2MT24,Fate2,24,neg,200605,0,1,Isethionic acid_13C-1,Isethionic acid,HILICNeg,125.994211,0.00956057735780747,0.0021231754235085157,1343632.3333333333,804548.8755049835
Smp,GBTFate2MT24,Fate2,24,neg,200605,0,1,Sucrose_13C-1,Sucrose,HILICNeg,342.111744,NaN,NA,0,0
Smp,GBTFate2MT48,Fate2,48,IS,200605,0,0,"(R)-2,3-Dihydroxypropane-1-sulfonate_13C-0","(R)-2,3-Dihydroxypropane-1-sulfonate",HILICNeg,155.001422,0.9991952148762628,0.0013939287234884339,97853733.33333333,19988868.238971543
Smp,GBTFate2MT48,Fate2,48,IS,200605,0,0,Isethionic acid_13C-0,Isethionic acid,HILICNeg,124.990857,0.9860823372064913,0.006775868594704155,207938407.66666666,56103600.98495573
Smp,GBTFate2MT48,Fate2,48,IS,200605,0,0,Trehalose_13C-0,Trehalose,HILICNeg,341.10839,1,0,3984080.3333333335,1185558.8026252992
Smp,GBTFate2MT48,Fate2,48,IS,200605,0,1,"(R)-2,3-Dihydroxypropane-1-sulfonate_13C-1","(R)-2,3-Dihydroxypropane-1-sulfonate",HILICNeg,156.004776,8.047851237372143e-4,0.001393928723488461,60519.666666666664,104823.13752379926
Smp,GBTFate2MT48,Fate2,48,IS,200605,0,1,Isethionic acid_13C-1,Isethionic acid,HILICNeg,125.994211,0.01391766279350867,0.006775868594704143,2766987.6666666665,1304712.7538206766
Smp,GBTFate2MT48,Fate2,48,IS,200605,0,1,Sucrose_13C-1,Sucrose,HILICNeg,342.111744,NaN,NA,0,0
Smp,GBTFate2MT48,Fate2,48,neg,200605,0,0,"(R)-2,3-Dihydroxypropane-1-sulfonate_13C-0","(R)-2,3-Dihydroxypropane-1-sulfonate",HILICNeg,155.001422,0.993608915235988,0.00566900445085228,59789646.666666664,17261165.018140037
Smp,GBTFate2MT48,Fate2,48,neg,200605,0,0,Isethionic acid_13C-0,Isethionic acid,HILICNeg,124.990857,0.9901625110764091,0.00123551430439919,148345181,82370975.14109863
Smp,GBTFate2MT48,Fate2,48,neg,200605,0,0,Trehalose_13C-0,Trehalose,HILICNeg,341.10839,1,0,2352005,718786.1627848716
Smp,GBTFate2MT48,Fate2,48,neg,200605,0,1,"(R)-2,3-Dihydroxypropane-1-sulfonate_13C-1","(R)-2,3-Dihydroxypropane-1-sulfonate",HILICNeg,156.004776,0.006391084764011995,0.005669004450852275,354775.6666666667,362917.55268977187
Smp,GBTFate2MT48,Fate2,48,neg,200605,0,1,Isethionic acid_13C-1,Isethionic acid,HILICNeg,125.994211,0.009837488923590997,0.0012355143043991871,1529287.6666666667,1009924.2081138234
Smp,GBTFate2MT48,Fate2,48,neg,200605,0,1,Sucrose_13C-1,Sucrose,HILICNeg,342.111744,NaN,NA,0,0
