MassFeature,Protein Name,Experiment,Timepoint,type,replicate,Concentration_uM.in.vial
Xanthine_13C-0 15N-0,Xanthine,Fate2,24,Smp,A,0.8578632217589133
Xanthine_13C-0 15N-0,Xanthine,Fate2,24,Smp,B,0.8048635517233884
Xanthine_13C-0 15N-0,Xanthine,Fate2,24,Smp,C,0.5148249556240468
Xanthine_13C-0 15N-0,Xanthine,Fate2,48,Smp,A,0.18378644851808157
Xanthine_13C-0 15N-0,Xanthine,Fate2,48,Smp,B,0.6401236424883634
Xanthine_13C-0 15N-0,Xanthine,Fate2,48,Smp,C,0.6029921866931437
Xanthine_13C-0 15N-0,Xanthine,Fate2,5,Smp,A,0.8325912914085949
Xanthine_13C-0 15N-0,Xanthine,Fate2,5,Smp,B,0.06749718310191144
Xanthine_13C-0 15N-0,Xanthine,Fate2,5,Smp,C,0.8439574279328846
Xanthine_13C-0 15N-0,Xanthine,Fate2,96,Smp,A,0.02873270405034605
Xanthine_13C-0 15N-0,Xanthine,Fate2,96,Smp,B,0.16413018552873837
Xanthine_13C-0 15N-0,Xanthine,Fate2,96,Smp,C,0.1616208001090288
